mode,n,sparsity,iters,threads,csr,csr_total,dense
parallel,1000,50,70,6,0.01257225,0.01512925,0.0220785
parallel,1000,50,70,12,0.0122425,0.01404675,0.02103325
parallel,1000,70,1,1,0.0006225,0.010663,0.001814
parallel,1000,70,1,2,0.000341,0.00592,0.000975
parallel,1000,70,1,4,0.00016675,0.00292325,0.00047575
parallel,1000,70,1,6,0.000112,0.00205075,0.0003225
parallel,1000,70,1,12,0.00011925,0.0015444999999999999,0.00030575000000000003
parallel,1000,70,10,1,0.00622525,0.016309,0.018094
parallel,1000,70,10,2,0.00320125,0.008572,0.00940225
parallel,1000,70,10,4,0.00163225,0.00440925,0.00485225
parallel,1000,70,10,6,0.001091,0.003031,0.00316725
parallel,1000,70,10,12,0.0010745,0.002526,0.0030645
parallel,1000,70,20,1,0.01223025,0.02223475,0.03585025
parallel,1000,70,20,2,0.0063405,0.0117225,0.01889925
parallel,1000,70,20,4,0.0032430000000000002,0.0059945,0.0093985
parallel,1000,70,20,6,0.00219625,0.004139749999999999,0.0063125
parallel,1000,70,20,12,0.008663500000000001,0.0129835,0.0060165
parallel,1000,70,50,1,0.03048775,0.040714,0.08921675
parallel,1000,70,50,2,0.01589525,0.02124275,0.0460715
parallel,1000,70,50,4,0.008122250000000001,0.01088325,0.02347975
parallel,1000,70,50,6,0.0054445,0.007407,0.0157595
parallel,1000,70,50,12,0.013051499999999999,0.0175545,0.015032750000000001
parallel,1000,70,70,1,0.04160625,0.051508,0.12467349999999999
parallel,1000,70,70,2,0.021971,0.02730175,0.06398625
parallel,1000,70,70,4,0.0113345,0.01413325,0.0328325
parallel,1000,70,70,6,0.0090995,0.011146,0.026258999999999998
parallel,1000,70,70,12,0.00740575,0.00884375,0.02102425
parallel,1000,90,1,1,0.000221,0.0054304999999999996,0.00186925
parallel,1000,90,1,2,0.00010925,0.0028597500000000003,0.0009525
parallel,1000,90,1,4,6.075e-05,0.00156075,0.00050125
parallel,1000,90,1,6,3.925e-05,0.00110175,0.0003205
parallel,1000,90,1,12,3.85e-05,0.0009835,0.00030725
parallel,1000,90,10,1,0.0021809999999999998,0.0073662499999999995,0.01842725
parallel,1000,90,10,2,0.0011235,0.0038465,0.0093375
parallel,1000,90,10,4,0.00057025,0.0020357500000000002,0.0047195
parallel,1000,90,10,6,0.000515,0.00165725,0.0037660000000000003
parallel,1000,90,10,12,0.000402,0.0013215,0.0030192500000000002
parallel,1000,90,20,1,0.00431375,0.009422999999999999,0.03615725
parallel,1000,90,20,2,0.00221475,0.0049705,0.0185015
parallel,1000,90,20,4,0.00114175,0.0026045,0.00938925
parallel,1000,90,20,6,0.001007,0.00208925,0.00681925
parallel,1000,90,20,12,0.0008725,0.001792,0.00602175
parallel,1000,90,50,1,0.0104435,0.015526,0.088009
parallel,1000,90,50,2,0.0055925,0.0083395,0.047198000000000004
parallel,1000,90,50,4,0.00293275,0.004392,0.02347375
parallel,1000,90,50,6,0.00262175,0.00369675,0.01579925
parallel,1000,90,50,12,0.002376,0.003315,0.01503475
parallel,1000,90,70,1,0.014907,0.0200185,0.1270665
parallel,1000,90,70,2,0.007732999999999999,0.01044275,0.0642325
parallel,1000,90,70,4,0.0040925,0.00556125,0.0335465
parallel,1000,90,70,6,0.003766,0.00483175,0.022094
parallel,1000,90,70,12,0.00321025,0.00415625,0.021085
parallel,1000,99,1,1,3.725e-05,0.003003,0.00184775
parallel,1000,99,1,2,1.8750000000000002e-05,0.00164025,0.00093975
parallel,1000,99,1,4,1.1e-05,0.00093875,0.0004725
parallel,1000,99,1,6,8.75e-06,0.00069275,0.0003185
parallel,1000,99,1,12,8e-06,0.0007255,0.00030625
parallel,1000,99,10,1,0.00032675,0.00326425,0.01824425
parallel,1000,99,10,2,0.00016774999999999998,0.00181375,0.009319000000000001
parallel,1000,99,10,4,0.00013125,0.00102175,0.0046977500000000005
parallel,1000,99,10,6,0.00010175,0.00079,0.00317425
parallel,1000,99,10,12,9.3e-05,0.00086775,0.00303825
parallel,1000,99,20,1,0.0006385,0.003545,0.036331749999999996
parallel,1000,99,20,2,0.00035275,0.00196875,0.018453249999999997
parallel,1000,99,20,4,0.000231,0.00113075,0.00938575
